common_phrases_000	Здравейте.
common_phrases_069	Колко дълго трае пътуването?
common_phrases_070	Какво е това животно?
common_phrases_071	Има ли ресторант тук?
common_phrases_072	Мога ли да плащам с кредитна карта?
common_phrases_073	Какво е това сграда?
common_phrases_074	Как да стигна до гарата?
common_phrases_075	Къде мога да наема велосипед?
common_phrases_076	Има ли метро в този град?
common_phrases_077	Къде са най-близките автобусни спирки?
common_phrases_078	Как се стига до музея?
common_phrases_079	Колко човека живеят тук?
common_phrases_080	Какви са традициите в този регион?
common_phrases_081	Как се приготвя това ястие?
common_phrases_082	Колко струва една нощувка в хотела?
common_phrases_083	Как се казва този мост?
common_phrases_084	Къде е най-близката аптека?
common_phrases_085	Какво е най-доброто време за посещение?
common_phrases_086	Има ли градски транспорт тук?
common_phrases_087	Къде са най-добрите магазини за шопинг?
common_phrases_088	Къде мога да сменя пари?
common_phrases_089	Как се стига до плажа?
common_phrases_090	Колко дълбока е тази река?
common_phrases_091	Какъв е градският код?
common_phrases_092	Каква е твоята любима книга?
common_phrases_093	Къде мога да си купя билет за театър?
common_phrases_094	Има ли тук интересни музеи?
common_phrases_095	Какво е това растение?
common_phrases_096	Какво е това събитие?
common_phrases_097	Къде е близкият бензиностан?
common_phrases_098	Как се стига до хотела?
common_phrases_099	Къде мога да си купя сувенири?
common_phrases_100	Имам нови идеи за проекта.
common_phrases_101	Ще бъда там веднага.
common_phrases_102	Този кафе е прекрасно.
common_phrases_103	Какво мислиш за този план?
common_phrases_104	Можеш ли да ми помогнеш с това?
common_phrases_105	Желая ти приятен ден.
common_phrases_106	Това е интересно предложение.
common_phrases_107	Надявам се да видим отново.
common_phrases_108	Каква мислиш за бъдещето?
common_phrases_109	Имам нужда от повече информация.
common_phrases_110	Този музей е страхотен.
common_phrases_111	Можем ли да направим съвместен проект?
common_phrases_112	Как се чувстваш днес?
common_phrases_113	Трябва да направим план за уикенда.
common_phrases_114	Какъв е твоят любим спорт?
common_phrases_115	Това беше изключително изживяване.
common_phrases_116	Имам желание за пътешествие.
common_phrases_117	Какви са твоите хобита?
common_phrases_118	Трябва да организираме събиране.
common_phrases_119	Как се казва това правило?
common_phrases_120	Наистина съжалявам за забавянето.
common_phrases_121	Този ресторант предлага вкусна храна.
common_phrases_122	Как можем да подобрим процеса?
common_phrases_123	Мечтая за почивка на море.
common_phrases_124	Къде мога да открия добра книга?
common_phrases_125	Този град е пълен с история.
common_phrases_126	Как да достигна до този адрес?
common_phrases_127	Надявам се на успешна среща.
common_phrases_128	Този филм ме впечатли.
common_phrases_129	Имам идея за нов проект.
common_phrases_130	Как да създам профил в социалните мрежи?
common_phrases_131	Това е страхотен начин да прекараме време.
common_phrases_132	Каква марка предпочиташ?
common_phrases_133	Нямам време за губене.
common_phrases_134	Къде мога да пробвам традиционна българска храна?
common_phrases_135	Това учебно заведение е много добро.
common_phrases_136	Какво е мнението ти за политиката?
common_phrases_137	Обичам да гледам слънцето залязващо.
common_phrases_138	Този концерт ще бъде страхотен.
common_phrases_139	Можеш ли да ми дадеш съвет?
common_phrases_140	Къде мога да науча повече за историята на България?
common_phrases_141	Това е отлична възможност за нас.
common_phrases_142	Трябва да се регистрирам за този курс.
common_phrases_143	Как можем да подпомогнем този проект?
common_phrases_144	Този ресторант предлага вегетарианска храна.
common_phrases_145	Какъв стил музика слушаш?
common_phrases_146	Този музей е отлично място за обучение.
common_phrases_147	Имам нужда от съвет за пътуване.
common_phrases_148	Каква е твоята любима част от града?
common_phrases_149	Този квартал е много живописен.
common_phrases_150	Не съм сигурен как да реша този проблем.
common_phrases_151	Обичам българската кухня.
common_phrases_152	Този парк е идеално място за разходка.
common_phrases_153	Трябва да се срещнем повече често.
common_phrases_154	Как се нарича този обичаен обичай?
common_phrases_155	Тази планина е впечатляваща.
common_phrases_156	Имам въпрос относно този проект.
common_phrases_157	Този мост е инженерно чудо.
common_phrases_158	Можеш ли да ми дадеш съвет за готвене?
common_phrases_159	Този кафене е много уютен.
common_phrases_160	Как се казва този градски квартал?
common_phrases_161	Къде мога да наема колело?
common_phrases_162	Този плаж е перфектен за почивка.
common_phrases_163	Обичам да слушам класическа музика.
common_phrases_164	Трябва да планираме следващата екскурзия.
common_phrases_165	Това събитие ще бъде интересно.
common_phrases_166	Как мога да резервирам място в ресторанта?
common_phrases_167	Този артист е много талантлив.
common_phrases_168	Каква е твоята страст в живота?
common_phrases_169	Трябва да обновя своя профил.
common_phrases_170	Този магазин предлага разнообразие от продукти.
common_phrases_171	Искам да науча български език.
common_phrases_172	Какво мислиш за идеята за пикник утре?
common_phrases_173	Този град е популярен с туристи.
common_phrases_174	Обичам българските традиции.
common_phrases_175	Това място е идеално за почивка.
common_phrases_176	Къде мога да намеря добър ресторант?
common_phrases_177	Новите технологии ме впечатляват.
common_phrases_178	Как да стигна до центъра на града?
common_phrases_179	Този архитектурен стил е уникален.
common_phrases_180	Желая ти успешен ден на работа.
common_phrases_181	Къде мога да закупя билети за кино?
common_phrases_182	Този кулинарен курс е много интересен.
common_phrases_183	Обичам да се разхождам в парка.
common_phrases_184	Имам интервю за работа утре.
common_phrases_185	Какъв вид книги обичаш да четеш?
common_phrases_186	Този фестивал е отлична забава.
common_phrases_187	Този хотел предлага страхотни условия.
common_phrases_188	Къде е близкият метростанция?
common_phrases_189	Имам нужда от по-добра организация.
common_phrases_190	Как да си направя собствен бизнес?
common_phrases_191	Този парк има много забележителности.
common_phrases_192	Обичам този магазин за обувки.
common_phrases_193	Научи ме да готвя тази рецепта.
common_phrases_194	Какви занимания обичаш да правиш?
common_phrases_195	Този концерт беше едно невероятно изживяване.
common_phrases_196	Къде мога да наема автомобил?
common_phrases_197	Обичам българските народни песни.
common_phrases_198	Този бар е подходящ за срещи с приятели.
common_phrases_199	Искам да посетя историческия музей.
common_phrases_200	Колко време отнема да научиш нов език?
common_phrases_201	Този квартал е известен със своите ресторанти.
common_phrases_202	Желая ти приятен полет.
common_phrases_203	Обичам този градски парк.
common_phrases_204	Този университет е престижен.
common_phrases_205	Къде мога да намеря добър книжарница?
common_phrases_206	Този театър представя великолепни постановки.
common_phrases_207	Нямам търпение да видя твоя нов проект.
common_phrases_208	Къде мога да си купя билет за автобуса?
common_phrases_209	Този артист има изключителен талант.
common_phrases_210	Обичам да плавам в морето.
common_phrases_211	Този ресторант предлага разнообразие от ястия.
common_phrases_212	Имам нужда от отпуск.
common_phrases_213	Къде мога да наема ски оборудване?
common_phrases_214	Този мост е невероятен инженерен проект.
common_phrases_215	Обичам българската традиционна музика.
common_phrases_216	Какъв стил обичаш да обличаш?
common_phrases_217	Този филм ме направи по-щастлив.
common_phrases_218	Този фестивал предлага много забавления.
common_phrases_219	Желая ти успех в бъдещите ти начинания.
common_phrases_220	Този курорт е идеален за почивка.
common_phrases_221	Къде мога да пробвам традиционни сладки?
common_phrases_222	Този книжарски магазин е мой любим.
common_phrases_223	Обичам да гледам български филми.
common_phrases_224	Искам да науча повече за българската история.
common_phrases_225	Този археологически обект е удивителен.
common_phrases_226	Къде мога да пробвам автентична българска кухня?
common_phrases_227	Обичам българските гори.
common_phrases_228	Този храм има богата история.
common_phrases_229	Имам желание за планинска разходка.
common_phrases_230	Каква е твоята обичайна работна седмица?
common_phrases_231	Този плаж е чист и красив.
common_phrases_232	Обичам да ходя на български фолклорни събития.
common_phrases_233	Този кафе магазин е уютен и тих.
common_phrases_234	Имам нужда от малко почивка в природата.
common_phrases_235	Как можем да подпомогнем защитата на околната среда?
common_phrases_236	Този филм ме вдъхнови.
common_phrases_237	Този бар предлага отлични коктейли.
common_phrases_238	Обичам този градски пазар.
common_phrases_239	Този планински връх е великолепен.
common_phrases_240	Къде мога да науча български танци?
common_phrases_241	Този ресторант е подходящ за романтична вечеря.
common_phrases_242	Обичам българските вина.
common_phrases_243	Този град е известен с културните си събития.
common_phrases_244	Къде мога да наема каяк?
common_phrases_245	Този антикварен магазин е интересен.
common_phrases_246	Имам нужда от отдих на природа.
common_phrases_247	Този фестивал предлага уникални изкуствени инсталации.
common_phrases_248	Обичам българските народни танци.
common_phrases_249	Този парк е идеален за пикник.
common_phrases_250	Къде мога да видя традиционни български ръчно изработени изделия?
common_phrases_251	Този архитектурен паметник е впечатляващ.
common_phrases_252	Обичам този градски квартал.
common_phrases_253	Този замък представлява историческо богатство.
common_phrases_254	Къде мога да опитам традиционна българска сладкарска изкуство?
common_phrases_255	Този пазар е пълен с местни продукти.
common_phrases_256	Обичам да гледам спектакли в този театър.
common_phrases_257	Този ресторант предлага български специалитети.
common_phrases_258	Къде мога да пробвам аутентичен български йогурт?
common_phrases_259	Този плаж е известен със своята бяла пясъчна плаж.
common_phrases_260	Обичам българските митове и легенди.
common_phrases_261	Този музей представя богатството на българската култура.
common_phrases_262	Къде мога да наема велосипед?
common_phrases_263	Този арт център е място за вдъхновение.
common_phrases_264	Обичам този градски градинарски парк.
common_phrases_265	Този водопад е естествено чудо.
common_phrases_266	Къде мога да открия традиционни български хандмейд изделия?
common_phrases_267	Този ресторант предлага уникални вегетариански ястия.
common_phrases_268	Обичам този тих и спокоен квартал.
common_phrases_269	Този курорт предлага спа услуги.
common_phrases_270	Къде мога да видя традиционни български фолклорни представления?
common_phrases_271	Този термален извор е идеален за релаксация.
common_phrases_272	Обичам тази българска галерия за изкуство.
common_phrases_273	Този град е известен със своите топли извори.
common_phrases_274	Къде мога да наема скутер?
common_phrases_275	Благодаря ти за помощта.
common_phrases_276	Животът е красив.
common_phrases_277	Радвам се да те видя.
common_phrases_278	Моля те, обърни внимание.
common_phrases_279	Обичам архитектурата на този град.
common_phrases_280	Не се притеснявай.
common_phrases_281	Имам нужда от почивка.
common_phrases_282	Колко време ще продължи този концерт?
common_phrases_283	Днес е страхотен ден.
common_phrases_284	Не мога да повярвам.
common_phrases_285	Имаш ли време утре?
common_phrases_286	Този град е изключително красив.
common_phrases_287	Желая ти успех.
common_phrases_288	Този ресторант е препоръчителен.
common_phrases_289	Моля те, дай ми възможност.
common_phrases_290	Това беше страхотно изживяване.
common_phrases_291	Направи го по твой начин.
common_phrases_292	Имам резервация за двама.
common_phrases_293	Този филм ме развесели.
common_phrases_294	Къде се продават билети за театъра?
common_phrases_295	Това място е спокойно и уютно.
common_phrases_296	Нека направим нещо различно днес.
common_phrases_297	Поздравления за успешната работа.
common_phrases_298	Колко струва този артикул?
common_phrases_299	Трябва ми помощ с превода.
common_phrases_300	Какво е името ти?
common_phrases_301	Имам резервация.
common_phrases_302	Какви са дневните специалитети?
common_phrases_303	Къде е театърът?
common_phrases_304	Колко време отнема да стигна до центъра на града?
common_phrases_305	Къде е паркингът?
common_phrases_306	Живея тук от години.
common_phrases_307	Има ли градина в този квартал?
common_phrases_308	Какъв е адресът ви?
common_phrases_309	Как се пише това на български?
common_phrases_310	Каква е твоята професия?
common_phrases_311	Откога учиш български?
common_phrases_312	Какъв тип храна предпочиташ?
common_phrases_313	Къде са най-добрите места за развлечения?
common_phrases_314	Каква е цената за една нощувка в този хотел?
common_phrases_315	Мога ли да платя в евро?
common_phrases_316	Къде са големите търговски центрове?
common_phrases_317	Искам да науча повече за българската култура.
common_phrases_318	Как се стига до университета?
common_phrases_319	Кога е последният автобус за центъра?
common_phrases_320	Какво е твоето хоби?
common_phrases_321	Колко често се провеждат събития в този град?
common_phrases_322	Как се пише това дума?
common_phrases_323	Къде са най-близките кафенета?
common_phrases_324	Какво е твоето любимо ястие?
common_phrases_325	Къде мога да наема ски?
common_phrases_326	Как се казва този район?
common_phrases_327	Къде мога да си купя билет за автобуса?
common_phrases_328	Колко струва входът?
common_phrases_329	Има ли библиотека тук?
common_phrases_330	Какво е това здание?
common_phrases_331	Къде мога да си купя вода?
common_phrases_332	Как се стига до зоологическата градина?
common_phrases_333	Къде мога да видя традиционни танци?
common_phrases_334	Каква е твоята любима песен?
common_phrases_335	Как се нарича този планински връх?
common_phrases_336	Колко часа работи магазинът?
common_phrases_337	Има ли кондиционер в стаята?
common_phrases_338	Къде мога да намеря информация за туристически обекти?
common_phrases_339	Как се стига до театъра?
common_phrases_340	Къде е най-близката болница?
common_phrases_341	Има ли добри ресторанти в близост?
common_phrases_342	Какъв е най-близкият плаж?
common_phrases_343	Къде мога да открия магазин за спортни стоки?
common_phrases_344	Какво е най-доброто място за гледане на закат?
common_phrases_345	Колко дълго трябва да чакам за този екскурзовод?
common_phrases_346	Какво е най-вкусното местно ястие?
common_phrases_347	Как се стига до метростанцията?
common_phrases_348	Къде мога да видя традиционни ръчно изработени изделия?
common_phrases_349	Има ли аптека, която работи през нощта?
common_phrases_350	Как се казва този парк?
common_phrases_351	Къде мога да наема лодка?
common_phrases_352	Как да стигна до музикалната академия?
common_phrases_353	Колко време отнема разходката до центъра?
common_phrases_354	Има ли тук кинотеатър?
common_phrases_355	Къде е търговската улица?
common_phrases_356	Има ли информационен център в близост?
common_phrases_357	Как се стига до катедралата?
common_phrases_358	Къде е най-близкият ларго магазин?
common_phrases_359	Колко струва входната такса за музея?
common_phrases_360	Има ли тук туристически офис?
common_phrases_361	Къде мога да наема скутер?
common_phrases_362	Как се казва този река?
common_phrases_363	Колко часа отнема обиколката на града?
common_phrases_364	Къде мога да яздя на кон?
common_phrases_365	Как се стига до ресторанта?
common_phrases_366	Има ли тук университет?
common_phrases_367	Къде мога да си купя местни продукти?
common_phrases_368	Какво е това сграда с интересен архитектурен стил?
common_phrases_369	Къде е най-близката спирка на градски транспорт?
common_phrases_370	Има ли тук био магазин?
common_phrases_371	Колко време отнема полетът до моята дестинация?
common_phrases_372	Как се казва този остров?
common_phrases_373	Къде е музикалният магазин?
common_phrases_374	Къде мога да открия местен художествен галерия?
common_phrases_375	Какво е най-доброто място за фотографии?
common_phrases_376	Колко често идват автобусите?
common_phrases_377	Има ли тук клуб за нощно забавление?
common_phrases_378	Къде мога да открия информация за туристически обиколки?
common_phrases_379	Как да се придвижа до метростанцията?
common_phrases_380	Къде мога да намеря картата на града?
common_phrases_381	Как се казва този квартал?
common_phrases_382	Колко време отнема разходката до плажа?
common_phrases_383	Има ли тук добри места за риболов?
common_phrases_384	Къде мога да наема снегоходка?
common_phrases_385	Какво е това събитие, което се провежда днес?
common_phrases_386	Къде мога да купя билет за жп гарата?
common_phrases_387	Колко време отнема обиколката на замъка?
common_phrases_388	Къде е най-близката станция на метрото?
common_phrases_389	Какъв е входът за музея?
common_phrases_390	Има ли тук добри магазини за мода?
common_phrases_391	Къде мога да открия информация за туристически екскурзии?
common_phrases_392	Колко време отнема пътуването до летището?
common_phrases_393	Къде мога да си купя билет за влака?
common_phrases_394	Как се стига до жп гарата?
common_phrases_395	Има ли тук парк за деца?
common_phrases_396	Къде е най-близкият фитнес център?
common_phrases_397	Как се казва този ресторант?
common_phrases_398	Колко време отнема пътуването до планината?
common_phrases_399	Къде мога да видя традиционни ръчно изработени изделия?
